h,f
2.712000,0.000947
2.716000,0.002215
2.720000,0.004017
2.724000,0.006342
2.728000,0.009210
2.732000,0.012601
2.736000,0.016526
2.740000,0.020993
2.744000,0.025993
2.748000,0.031507
2.752000,0.037574
2.756000,0.044173
2.760000,0.051287
2.764000,0.058943
2.768000,0.067142
2.772000,0.075864
2.776000,0.085092
2.780000,0.094890
2.784000,0.105221
2.788000,0.116048
2.792000,0.127436
2.796000,0.139366
2.800000,0.151792
2.804000,0.164770
2.808000,0.178300
2.812000,0.192335
2.816000,0.206893
2.820000,0.222013
2.824000,0.237656
2.828000,0.253814
2.832000,0.270524
2.836000,0.287776
2.840000,0.305524
2.844000,0.323833
2.848000,0.342684
2.852000,0.362022
2.856000,0.381921
2.860000,0.402362
2.864000,0.423318
2.868000,0.444798
2.872000,0.466847
2.876000,0.489403
2.880000,0.512482
2.884000,0.536121
2.888000,0.560285
2.892000,0.584954
2.896000,0.610184
2.900000,0.635846
2.904000,0.661544
2.908000,0.687252
2.912000,0.712978
2.916000,0.738676
2.920000,0.764375
2.924000,0.790110
2.928000,0.815818
2.932000,0.841507
2.936000,0.867105
2.940000,0.892187
2.944000,0.916719
2.948000,0.940744
2.952000,0.964237
2.956000,0.987178
2.960000,1.009596
2.964000,1.031498
2.968000,1.052849
2.972000,1.073658
2.976000,1.093961
2.980000,1.113713
2.984000,1.132932
2.988000,1.151636
2.992000,1.169798
2.996000,1.187408
3.000000,1.204522
3.004000,1.221094
3.008000,1.237114
3.012000,1.252619
3.016000,1.267592
3.020000,1.282013
3.024000,1.295910
3.028000,1.309292
3.032000,1.322123
3.036000,1.334421
3.040000,1.346213
3.044000,1.357463
3.048000,1.368143
3.052000,1.378336
3.056000,1.387987
3.060000,1.397077
3.064000,1.405662
3.068000,1.413722
3.072000,1.421222
3.076000,1.428208
3.080000,1.434669
3.084000,1.440597
3.088000,1.445965
3.092000,1.450827
3.096000,1.455156
3.100000,1.458934
3.104000,1.462187
3.108000,1.464917
3.112000,1.467105
3.116000,1.468759
3.120000,1.469890
3.124000,1.470487
3.128000,1.470588
3.132000,1.470588
3.136000,1.470588
3.140000,1.470588
3.144000,1.470588
3.148000,1.470588
3.152000,1.470588
3.156000,1.470588
3.160000,1.470588
3.164000,1.470588
3.168000,1.470588
3.172000,1.470588
3.176000,1.470588
3.180000,1.470588
3.184000,1.470588
3.188000,1.470588
3.192000,1.470588
3.196000,1.470588
3.200000,1.470588
3.204000,1.470588
3.208000,1.470588
3.212000,1.470588
3.216000,1.470588
3.220000,1.470588
3.224000,1.470588
3.228000,1.470588
3.232000,1.470588
3.236000,1.470588
3.240000,1.470588
3.244000,1.470588
3.248000,1.470588
3.252000,1.470588
3.256000,1.470588
3.260000,1.470588
3.264000,1.470588
3.268000,1.470588
3.272000,1.470588
3.276000,1.470588
3.280000,1.470588
3.284000,1.470588
3.288000,1.470588
3.292000,1.470588
3.296000,1.470588
3.300000,1.470588
3.304000,1.470588
3.308000,1.470588
3.312000,1.470588
3.316000,1.470588
3.320000,1.470588
3.324000,1.470588
3.328000,1.470588
3.332000,1.470588
3.336000,1.470588
3.340000,1.470588
3.344000,1.470588
3.348000,1.470588
3.352000,1.470588
3.356000,1.470588
3.360000,1.470588
3.364000,1.470588
3.368000,1.470588
3.372000,1.470588
3.376000,1.470588
3.380000,1.470588
3.384000,1.470588
3.388000,1.470377
3.392000,1.469642
3.396000,1.468373
3.400000,1.466572
3.404000,1.464246
3.408000,1.461379
3.412000,1.457987
3.416000,1.454062
3.420000,1.449596
3.424000,1.444596
3.428000,1.439081
3.432000,1.433015
3.436000,1.426415
3.440000,1.419301
3.444000,1.411645
3.448000,1.403447
3.452000,1.394733
3.456000,1.385496
3.460000,1.375699
3.464000,1.365368
3.468000,1.354550
3.472000,1.343153
3.476000,1.331222
3.480000,1.318796
3.484000,1.305818
3.488000,1.292289
3.492000,1.278263
3.496000,1.263695
3.500000,1.248575
3.504000,1.232932
3.508000,1.216783
3.512000,1.200064
3.516000,1.182812
3.520000,1.165064
3.524000,1.146756
3.528000,1.127914
3.532000,1.108566
3.536000,1.088667
3.540000,1.068226
3.544000,1.047270
3.548000,1.025790
3.552000,1.003741
3.556000,0.981186
3.560000,0.958107
3.564000,0.934467
3.568000,0.910312
3.572000,0.885634
3.576000,0.860404
3.580000,0.834743
3.584000,0.809044
3.588000,0.783336
3.592000,0.757610
3.596000,0.731912
3.600000,0.706213
3.604000,0.680478
3.608000,0.654779
3.612000,0.629081
3.616000,0.603483
3.620000,0.578401
3.624000,0.553869
3.628000,0.529844
3.632000,0.506351
3.636000,0.483410
3.640000,0.460993
3.644000,0.439090
3.648000,0.417748
3.652000,0.396930
3.656000,0.376627
3.660000,0.356875
3.664000,0.337656
3.668000,0.318952
3.672000,0.300790
3.676000,0.283180
3.680000,0.266066
3.684000,0.249494
3.688000,0.233483
3.692000,0.217969
3.696000,0.202996
3.700000,0.188575
3.704000,0.174678
3.708000,0.161296
3.712000,0.148465
3.716000,0.136167
3.720000,0.124375
3.724000,0.113134
3.728000,0.102445
3.732000,0.092252
3.736000,0.082601
3.740000,0.073511
3.744000,0.064926
3.748000,0.056866
3.752000,0.049366
3.756000,0.042381
3.760000,0.035919
3.764000,0.030000
3.768000,0.024623
3.772000,0.019761
3.776000,0.015432
3.780000,0.011654
3.784000,0.008401
3.788000,0.005671
3.792000,0.003483
3.796000,0.001829
3.800000,0.000699
3.804000,0.000101
3.808000,0.000000
3.812000,0.000000
3.816000,0.000000
3.820000,0.000000
3.824000,0.000000
3.828000,0.000000
3.832000,0.000000
3.836000,0.000000
3.840000,0.000000
3.844000,0.000000
3.848000,0.000000
3.852000,0.000000
3.856000,0.000000
3.860000,0.000000
3.864000,0.000000
3.868000,0.000000
3.872000,0.000000
3.876000,0.000000
3.880000,0.000000
3.884000,0.000000
3.888000,0.000000
3.892000,0.000000
3.896000,0.000000
3.900000,0.000000
3.904000,0.000000
3.908000,0.000000
3.912000,0.000000
3.916000,0.000000
3.920000,0.000000
3.924000,0.000000
3.928000,0.000000
3.932000,0.000000
3.936000,0.000000
3.940000,0.000000
3.944000,0.000000
3.948000,0.000000
3.952000,0.000000
3.956000,0.000000
3.960000,0.000000
3.964000,0.000000
3.968000,0.000000
3.972000,0.000000
3.976000,0.000000
3.980000,0.000000
3.984000,0.000000
3.988000,0.000000
3.992000,0.000000
3.996000,0.000000
